Site Name:,Rockland Summit,Rockland Summit,Rockland Summit,Rockland Summit,Rockland Summit,Rockland Summit
Deployment:,Air temperature (2-meter) monitor,Air temperature (2-meter) monitor,Air temperature (2-meter) monitor,Air temperature (10-meter) monitor,Air temperature (10-meter) monitor,Air temperature (10-meter) monitor
Monitored System:,Climate,Climate,Climate,Climate,Climate,Climate
Measured Property:,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
Vertical Offset from Surface:,,,,,,
Units:,degC,degC,degC,degC,degC,degC
Measurement Type:,Maximum,Minimum,Average,Maximum,Minimum,Average
Measurement Interval:,0:01:00,0:01:00,0:01:00,0:01:00,0:01:00,0:01:00
Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),,,,,,
2019-04-01T16:41:00.0000000-08:00,-9999,5.235,5.095,5.31,4.754,5.027
2019-04-01T16:42:00.0000000-08:00,5.124,4.97,5.051,4.817,4.615,4.721
2019-04-01T16:44:00.0000000-08:00,5.165,5.046,5.093,4.796,4.608,4.698
2019-04-01T16:45:00.0000000-08:00,5.138,4.99,5.078,4.848,4.643,4.743
2019-04-01T16:46:00.0000000-08:00,5.175,5.033,5.094,4.868,4.655,4.786
2019-04-01T16:47:00.0000000-08:00,5.216,5.036,5.127,4.843,4.724,4.784
2019-04-01T16:48:00.0000000-08:00,5.196,5.086,5.128,4.901,4.719,4.815
2019-04-01T16:49:00.0000000-08:00,5.231,5.046,5.124,4.907,4.81,4.861
2019-04-01T16:50:00.0000000-08:00,5.223,5.075,5.169,4.933,4.743,4.857
2019-04-01T16:51:00.0000000-08:00,5.229,5.107,5.167,4.968,4.823,4.884
2019-04-01T16:52:00.0000000-08:00,5.207,4.858,5.047,5,4.827,4.915
2019-04-01T16:53:00.0000000-08:00,5.126,4.899,4.992,4.955,4.785,4.891
2019-04-01T16:54:00.0000000-08:00,5.044,4.891,4.956,4.928,4.794,4.855
2019-04-01T16:55:00.0000000-08:00,5.167,4.956,5.064,4.954,4.724,4.843
2019-04-01T16:56:00.0000000-08:00,5.182,5.025,5.085,4.923,4.704,4.8
2019-04-01T16:57:00.0000000-08:00,5.21,5.063,5.119,4.844,4.654,4.788
2019-04-01T16:58:00.0000000-08:00,5.231,5.038,5.094,4.859,4.666,4.763
2019-04-01T16:59:00.0000000-08:00,5.206,5.033,5.103,4.828,4.66,4.758
2019-04-01T17:00:00.0000000-08:00,5.176,5.008,5.075,4.786,4.652,4.718
2019-04-01T17:01:00.0000000-08:00,5.105,4.88,5.016,4.73,4.553,4.676
2019-04-01T17:02:00.0000000-08:00,5.062,4.923,4.994,5.018,4.594,4.686
2019-04-01T17:03:00.0000000-08:00,5.044,4.874,4.955,4.774,4.362,4.691
2019-04-01T17:04:00.0000000-08:00,5.053,4.922,4.983,4.822,4.629,4.727
2019-04-01T17:05:00.0000000-08:00,5.05,4.906,4.996,4.831,4.599,4.701
2019-04-01T17:06:00.0000000-08:00,5.023,4.852,4.946,4.693,4.241,4.561
2019-04-01T17:07:00.0000000-08:00,4.98,4.788,4.882,4.651,4.156,4.417
2019-04-01T17:08:00.0000000-08:00,4.819,4.607,4.72,4.293,3.89,4.11
2019-04-01T17:09:00.0000000-08:00,4.638,4.445,4.539,4.479,4.006,4.143
2019-04-01T17:10:00.0000000-08:00,100.04,4.44,4.535,4.519,4.084,4.349
2019-04-01T17:11:00.0000000-08:00,4.702,4.495,4.583,4.733,4.451,4.59
2019-04-01T17:12:00.0000000-08:00,4.572,4.406,4.474,4.793,4.467,4.664
2019-04-01T17:13:00.0000000-08:00,4.626,4.461,4.537,4.868,4.618,4.758
2019-04-01T17:14:00.0000000-08:00,4.678,4.499,4.57,4.94,4.743,4.865
2019-04-01T17:15:00.0000000-08:00,4.642,4.528,4.59,4.951,4.727,4.817
2019-04-01T17:16:00.0000000-08:00,4.648,4.543,4.594,4.907,4.594,4.726
2019-04-01T17:17:00.0000000-08:00,4.728,4.547,4.628,4.742,4.464,4.604
2019-04-01T17:18:00.0000000-08:00,4.663,4.536,4.593,4.587,4.425,4.523
2019-04-01T17:19:00.0000000-08:00,4.65,4.474,4.56,4.582,4.369,4.502
2019-04-01T17:20:00.0000000-08:00,4.6,4.464,4.534,4.549,4.407,4.47
2019-04-01T17:21:00.0000000-08:00,4.592,4.465,4.54,4.565,4.37,4.482
2019-04-01T17:22:00.0000000-08:00,4.639,4.491,4.545,4.574,4.372,4.49
2019-04-01T17:23:00.0000000-08:00,4.612,4.463,4.532,4.612,4.424,4.501
2019-04-01T17:24:00.0000000-08:00,4.647,4.476,4.556,4.593,4.428,4.509
2019-04-01T17:25:00.0000000-08:00,4.627,4.429,4.531,4.536,4.409,4.48
2019-04-01T17:26:00.0000000-08:00,4.562,4.327,4.435,4.543,4.276,4.387
2019-04-01T17:27:00.0000000-08:00,4.342,4.177,4.244,4.339,4.2,4.263
2019-04-01T17:28:00.0000000-08:00,4.189,3.961,4.084,4.189,4.049,4.123
2019-04-01T17:29:00.0000000-08:00,4.068,3.94,3.995,4.221,4.062,4.126
2019-04-01T17:30:00.0000000-08:00,4.006,3.824,3.936,4.157,3.992,4.066
2019-04-01T17:31:00.0000000-08:00,3.97,3.813,3.881,4.196,3.936,4.09
2019-04-01T17:32:00.0000000-08:00,4.023,3.838,3.911,4.217,4.074,4.155
2019-04-01T17:33:00.0000000-08:00,4.091,3.813,3.934,4.34,4.123,4.244
2019-04-01T17:34:00.0000000-08:00,4.168,4,4.082,4.361,4.18,4.249
2019-04-01T17:35:00.0000000-08:00,4.275,4.052,4.175,4.385,4.192,4.273
